,dataset,n_rows,n_classes,tabpfn_acc,tabpfn_auc,rf_base_acc,rf_base_auc,rf_aug_acc,rf_aug_auc,rf_aug_conf_acc,rf_aug_conf_auc,mlp_base_acc,mlp_base_auc,mlp_aug_acc,mlp_aug_auc,mlp_aug_conf_acc,mlp_aug_conf_auc,mlp_soft_acc,mlp_soft_auc
0,tic-tac-toe,958,2,0.8917225950782998,0.9310892620415376,0.7501118568232663,0.7968283252319929,0.7592841163310962,0.8172945205479453,0.7389261744966442,0.7762571807335396,0.6993288590604027,0.7148840035351304,0.8035794183445191,0.8422514361467078,0.7022371364653244,0.7274801148917366,0.707158836689038,0.7270028722934158
1,monks-problems-2,601,2,0.880074487895717,0.9628125384899618,0.619366852886406,0.6111928808966621,0.6458100558659219,0.6380111466929426,0.6368715083798883,0.528497967730016,0.6141527001862197,0.5236728661165169,0.6160148975791435,0.5310198300283286,0.6182495344506518,0.49505788890257413,0.604096834264432,0.5195436630126863
2,sonar,208,2,0.7805555555555556,0.8731149447567358,0.7805555555555556,0.8819344834270207,0.7638888888888888,0.866834657879434,0.7861111111111111,0.8856755185113394,0.7513888888888889,0.842760224849777,0.7305555555555554,0.8014731537119596,0.7486111111111111,0.8319054080248109,0.6944444444444444,0.7238999806163986
3,ionosphere,351,2,0.9128919860627178,0.9683094132545378,0.9038327526132404,0.9516937526382439,0.8905923344947736,0.9512505276487969,0.9031358885017422,0.9542581257914732,0.81602787456446,0.8133073026593498,0.8181184668989546,0.8288201772899958,0.8292682926829269,0.8122520050654284,0.8229965156794427,0.8264140987758548
4,vehicle,846,4,0.7388746803069054,0.9237188664315606,0.6447570332480819,0.851229999799848,0.6427109974424552,0.8531612303951231,0.6493606138107417,0.8593096759485871,0.2580562659846547,0.5149862397964651,0.29744245524296675,0.5615018939176675,0.26675191815856775,0.5172149637691665,0.28414322250639384,
5,wdbc,569,2,0.9457425742574257,0.9882609571112155,0.9279207920792079,0.9803258607960267,0.9295049504950494,0.9836180280555741,0.9219801980198021,0.9829283844553327,0.5334653465346535,0.5948855627894489,0.8467326732673268,0.7663299550305389,0.47445544554455443,0.3136217195784952,0.7611881188118812,0.6902241761192027
6,diabetes,768,2,0.7284090909090909,0.7994923137004295,0.734375,0.7890891823765399,0.7315340909090909,0.7901524834025634,0.7024147727272727,0.7588612117016367,0.5715909090909091,0.5256381581283063,0.6622159090909092,0.641419036461107,0.5387073863636364,0.49610137749849115,0.647159090909091,0.6935846913054283
7,ilpd,583,2,0.7036608863198458,0.7252639216397606,0.6890173410404625,0.6939778704879377,0.7028901734104045,0.6905659350625794,0.7001926782273602,0.6897424269907491,0.5071290944123314,0.49875204063123524,0.5391136801541425,0.636446580808997,0.5171483622350674,0.5982749863957918,0.674373795761079,0.5523888989660801
8,balance-scale,625,3,0.8798573975044561,0.9570418059480449,0.776114081996435,0.801572604589818,0.7836007130124777,0.8001693848593986,0.7696969696969697,0.7762426580622261,0.8659536541889482,0.9006649306915987,0.8627450980392156,0.9197666270112459,0.8499108734402853,0.8083090492654182,0.8035650623885917,
9,blood-transfusion,748,2,0.7672514619883041,0.7114915864960023,0.7403508771929823,0.6843234459451504,0.757017543859649,0.6533106461147156,,,0.4476608187134503,0.4760901051540808,0.5517543859649123,0.42486134498310235,,,0.602046783625731,0.5701824005275367
10,titanic,1309,2,0.7529317269076305,0.8073679666925289,0.7275502008032129,0.7689228617324694,0.7410441767068273,0.7765044639442252,0.751004016064257,0.7919129940662871,0.7251405622489959,0.7641302684923124,0.7511646586345382,0.8019134311722087,0.695582329317269,0.7243459802646676,0.7116465863453815,0.6835844871108392
11,heart-statlog,270,2,0.8048543689320388,0.8860793287566743,0.8116504854368932,0.8841819221967964,0.7844660194174757,0.8685163996948895,0.8019417475728154,0.8755720823798627,0.6320388349514563,0.6271357742181541,0.7368932038834952,0.7977116704805493,0.5796116504854368,0.47522883295194507,0.7718446601941747,0.8215484363081618
12,glass,214,6,0.72,0.9279196106489337,0.7013333333333333,0.9101843180723188,0.6853333333333333,0.913557881490032,0.696,0.9061285439875222,0.3546666666666667,0.7182063200391765,0.5426666666666666,0.8213398956919971,0.5293333333333333,0.806526909364402,0.3466666666666667,
13,wine,178,3,0.9771929824561403,0.9992530495418404,0.982456140350877,0.9992650352030135,0.9789473684210528,0.998994274111921,0.982456140350877,0.9990649017208086,0.4333333333333333,0.6166563473609324,0.43508771929824563,0.6557813673566344,0.5157894736842105,0.6098299452346511,0.775438596491228,
14,zoo,101,7,0.9243243243243244,0.997526283240569,0.9351351351351352,0.9986425479282621,0.9243243243243244,0.9950649350649352,0.908108108108108,0.9815584415584416,0.918918918918919,0.9722881880024739,0.9135135135135135,0.9747131579904689,0.908108108108108,0.9655658627087199,0.8648648648648649,
15,hepatitis,155,2,0.8241758241758242,0.8482456140350877,0.8087912087912089,0.850219298245614,0.8241758241758242,0.8296783625730996,0.810989010989011,0.8451754385964911,0.7824175824175824,0.6488304093567252,0.8197802197802199,0.8402046783625732,0.8241758241758242,0.839766081871345,0.778021978021978,0.7026315789473684
16,lymph,148,4,0.8357142857142857,0.9617015479039267,0.8452380952380952,0.9660213452900273,0.8285714285714286,0.95993606498634,0.8047619047619048,0.7547100846533846,0.8357142857142856,0.9630689350345097,0.8404761904761905,0.9625811370720555,0.8166666666666667,0.7646192566598395,0.8,
17,tae,151,3,0.5494252873563219,0.7181408435593059,0.5034482758620691,0.7018732111847387,0.5080459770114942,0.6862538333524457,,,0.4252873563218391,0.6028233261653184,0.4275862068965518,0.611704731098029,,,0.41609195402298854,
18,haberman,306,2,0.7223140495867769,0.6499473314606742,0.7041322314049586,0.6308110955056181,0.7140495867768596,0.6014834971910112,0.731404958677686,0.5818556882022472,0.643801652892562,0.5425737359550562,0.728099173553719,0.6191537921348315,0.731404958677686,0.5833918539325843,0.6710743801652892,0.6098314606741573
19,vote,435,2,0.9530997304582212,0.9877806404122194,0.9417789757412398,0.9845816464237517,0.9482479784366576,0.9856091277143907,0.9509433962264152,0.9833732057416267,0.9299191374663073,0.979205005520795,0.9363881401617252,0.9836523125996811,0.9105121293800538,0.9748190406085143,0.9525606469002696,0.9832842596000491
20,monks-problems-1,556,2,0.9963414634146341,1.0,0.8390243902439025,0.9232087381849429,0.8808943089430894,0.9516491506378477,0.8,0.8754478154537644,0.6837398373983741,0.7203946063850882,0.686178861788618,0.72971776059224,0.6430894308943089,0.7153843611606848,0.7126016260162602,0.735507964835746
21,monks-problems-3,554,2,0.956734693877551,0.9870621610346266,0.9616326530612245,0.9865331664580725,0.9653061224489796,0.9719599499374219,0.8889795918367348,0.9749269920734249,0.9481632653061224,0.9769428452231956,0.962857142857143,0.9684121818940342,0.9228571428571428,0.9598915310805174,0.9404081632653062,0.9620575719649562
22,planning-relax,182,2,0.7203389830508474,0.43809523809523815,0.6728813559322033,0.42594537815126043,0.7203389830508474,0.41491596638655465,0.6677966101694915,0.4417717086834734,0.6237288135593222,0.4570728291316527,0.711864406779661,0.48039215686274506,0.6169491525423729,0.4707282913165266,0.7101694915254237,0.4495798319327731
23,credit-approval,690,2,0.8562300319488818,0.9160587937570368,0.8536741214057508,0.9147242622375094,0.8549520766773163,0.9134165866154339,0.8536741214057508,0.9170080464400442,0.5977635782747603,0.6699296582070591,0.776996805111821,0.8338735500397675,0.6635782747603834,0.716926445828556,0.7792332268370608,0.842769049611106
24,breast-w,699,2,0.9524409448818897,0.9909268528275378,0.9514960629921261,0.99035607657183,0.9549606299212599,0.9901738672286617,0.944251968503937,0.988128951527924,0.8859842519685038,0.8781941517386722,0.9102362204724409,0.9148094485423254,0.9045669291338584,0.9214216719353704,0.8822047244094489,0.8877963645943098
25,breast-cancer,286,2,0.6927927927927927,0.6387917637917637,0.7027027027027026,0.6283022533022533,0.6945945945945946,0.6100621600621601,0.7139639639639639,0.6406492812742812,0.709009009009009,0.6424436674436673,0.7063063063063062,0.6296620046620047,0.7072072072072072,0.6195002913752914,0.6972972972972974,0.5962703962703964
26,credit-g,1000,2,0.7130341880341879,0.7193219418108716,0.7173076923076923,0.7241025780337399,0.7123931623931624,0.7086984868653392,0.711965811965812,0.7014973785009916,0.6198717948717949,0.4999244790959224,0.6164529914529915,0.5194001792942327,0.6198717948717948,0.5082078726467631,0.6476495726495727,0.621180625356551
27,ecoli,336,8,0.8507352941176471,0.8524360953740111,0.8183823529411764,0.8487101654529144,0.8419117647058822,0.8500757992033551,0.7,0.7359066582190292,0.8330882352941178,0.8528475409837843,0.7823529411764707,0.8527061338203547,0.6345588235294117,0.6867613770295261,0.46470588235294114,
28,flags,194,8,0.663076923076923,0.8474357600158337,0.6461538461538461,0.8326244627158781,0.6476923076923077,0.8269140841903191,0.5553846153846154,0.7145055771545541,0.4600000000000001,0.6642608821567245,0.5353846153846152,0.7597848205922991,0.4907692307692308,0.6667608012621089,0.356923076923077,
29,cleveland,303,2,0.794979079497908,0.8831853417899929,0.7857740585774058,0.873431994362227,0.798326359832636,0.8750035236081748,0.7958158995815899,0.8775405214940099,0.5564853556485356,0.5396899224806202,0.6267782426778243,0.7024594785059902,0.7171548117154811,0.7428752642706131,0.7799163179916319,0.8190556730091615
30,colic,368,2,0.8210526315789473,0.8548735119047619,0.8072368421052631,0.8602306547619047,0.8151315789473685,0.8568498883928571,0.8164473684210526,0.8657273065476192,0.7605263157894736,0.7971912202380953,0.7986842105263159,0.8299944196428569,0.743421052631579,0.7868117559523808,0.7480263157894737,0.7798921130952381
31,biomed,209,2,0.9048275862068966,0.9654673283705542,0.8951724137931034,0.9519023986765923,0.8937931034482759,0.9505169561621173,0.8896551724137932,0.9503101736972706,0.47172413793103446,0.5,0.48689655172413787,0.5544871794871795,0.47172413793103446,0.5,0.5158620689655173,0.5321339950372208
32,analcatdata_authorship,841,4,0.9925353925353926,0.9999031717143685,0.9631917631917633,0.998821411897292,0.9665379665379665,0.9987057833472239,0.9688545688545688,0.9987441105258034,0.6684684684684685,0.8270060754663555,0.855083655083655,0.9680390247984585,0.8803088803088801,0.978090923656546,0.43938223938223936,
